Datetime,Open,High,Low,Close,Volume
2025-03-26T08:00:00.000+0000,95.65,96.07,95.16,95.3,3959.5043
2025-03-26T10:00:00.000+0000,95.31,96.49,95.3,96.13,5612.8025
2025-03-26T12:00:00.000+0000,96.12,96.41,93.8,94.0,8454.7144
2025-03-26T14:00:00.000+0000,93.9,94.58,92.78,93.15,12012.8925
2025-03-26T16:00:00.000+0000,93.03,93.51,92.26,92.4,5613.4836
2025-03-26T18:00:00.000+0000,92.39,92.84,90.92,92.18,9591.4149
2025-03-26T20:00:00.000+0000,92.13,93.16,91.78,92.78,2665.8577
2025-03-26T22:00:00.000+0000,92.66,92.71,91.65,92.42,1904.8148
2025-03-27T00:00:00.000+0000,92.43,93.79,92.34,93.32,2028.6238
2025-03-27T02:00:00.000+0000,93.32,93.9,93.27,93.7,2461.4493
2025-03-27T04:00:00.000+0000,93.77,93.97,93.35,93.48,1880.5341
2025-03-27T06:00:00.000+0000,93.48,94.37,93.38,94.28,5582.8847
2025-03-27T08:00:00.000+0000,94.31,94.63,93.82,94.31,4704.3786
2025-03-27T10:00:00.000+0000,94.32,95.0,93.64,93.75,3934.8294
2025-03-27T12:00:00.000+0000,93.74,94.23,92.26,93.12,11164.3711
2025-03-27T14:00:00.000+0000,93.13,94.2,92.74,93.3,6697.2619
2025-03-27T16:00:00.000+0000,93.3,93.52,92.23,92.35,10567.93
2025-03-27T18:00:00.000+0000,92.32,93.23,92.19,92.59,3383.5804
2025-03-27T20:00:00.000+0000,92.62,93.21,92.33,92.96,6208.2467
2025-03-27T22:00:00.000+0000,93.03,93.21,92.64,92.81,5510.1653
2025-03-28T00:00:00.000+0000,92.8,93.42,92.01,93.03,7374.3815
2025-03-28T02:00:00.000+0000,93.01,93.32,92.09,92.44,1874.4961
2025-03-28T04:00:00.000+0000,92.43,92.55,89.62,89.77,23979.6741
2025-03-28T06:00:00.000+0000,89.76,90.34,88.18,88.36,13927.7144
2025-03-28T08:00:00.000+0000,88.36,89.09,88.23,88.36,11436.2254
2025-03-28T10:00:00.000+0000,88.33,88.48,87.3,88.2,18979.089
2025-03-28T12:00:00.000+0000,88.21,88.44,87.25,87.41,14800.0349
2025-03-28T14:00:00.000+0000,87.45,87.82,86.78,87.27,15051.8832
2025-03-28T16:00:00.000+0000,87.27,87.6,86.01,86.86,16254.9634
2025-03-28T18:00:00.000+0000,86.87,86.98,86.2,86.37,5647.4096
2025-03-28T20:00:00.000+0000,86.39,87.11,85.71,86.51,7290.0635
2025-03-28T22:00:00.000+0000,86.51,87.51,86.48,87.32,6386.1396
2025-03-29T00:00:00.000+0000,87.36,88.02,87.09,87.45,3367.3883
2025-03-29T02:00:00.000+0000,87.47,87.75,85.97,87.45,10726.8728
2025-03-29T04:00:00.000+0000,87.4,87.65,86.77,86.91,2787.3726
2025-03-29T06:00:00.000+0000,86.92,86.92,85.75,86.13,4214.3047
2025-03-29T08:00:00.000+0000,86.14,87.05,85.56,86.33,13449.1519
2025-03-29T10:00:00.000+0000,86.3,86.45,85.0,85.72,10249.3042
2025-03-29T12:00:00.000+0000,85.75,86.97,85.65,86.91,5303.8602
2025-03-29T14:00:00.000+0000,86.95,87.02,85.99,86.04,4049.2697
2025-03-29T16:00:00.000+0000,86.07,86.35,84.13,85.12,30796.036
2025-03-29T18:00:00.000+0000,85.12,85.79,84.98,85.73,5396.8712
2025-03-29T20:00:00.000+0000,85.74,85.75,84.51,84.93,4897.4172
2025-03-29T22:00:00.000+0000,84.95,85.5,84.52,85.5,2560.9704
2025-03-30T00:00:00.000+0000,85.47,86.28,84.7,85.97,7665.0898
2025-03-30T02:00:00.000+0000,85.96,86.8,85.84,86.27,4000.2024
2025-03-30T04:00:00.000+0000,86.24,86.79,86.14,86.27,4511.3532
2025-03-30T06:00:00.000+0000,86.27,86.57,85.83,86.16,1940.9219
2025-03-30T08:00:00.000+0000,86.16,86.52,86.15,86.47,3232.2536
2025-03-30T10:00:00.000+0000,86.48,86.76,85.8,86.0,4739.1611
2025-03-30T12:00:00.000+0000,86.0,86.27,85.14,85.26,5886.4426
2025-03-30T14:00:00.000+0000,85.24,86.7,85.02,86.39,5708.749
2025-03-30T16:00:00.000+0000,86.43,86.8,85.6,86.0,17363.6556
2025-03-30T18:00:00.000+0000,86.04,86.69,86.04,86.44,4894.0568
2025-03-30T20:00:00.000+0000,86.44,86.59,85.76,85.91,2074.6795
2025-03-30T22:00:00.000+0000,85.89,86.38,84.83,86.09,6897.7764
2025-03-31T00:00:00.000+0000,86.11,86.26,84.5,86.03,13237.0394
2025-03-31T02:00:00.000+0000,86.04,86.14,84.71,84.79,10852.1353
2025-03-31T04:00:00.000+0000,84.8,85.73,84.55,85.07,6050.5461
2025-03-31T06:00:00.000+0000,85.07,85.23,83.36,83.7,15077.4586
2025-03-31T08:00:00.000+0000,83.72,84.37,80.98,81.41,27998.4321
2025-03-31T10:00:00.000+0000,81.4,82.53,80.83,82.27,14476.7541
2025-03-31T12:00:00.000+0000,82.27,83.61,81.15,81.87,17602.2671
2025-03-31T14:00:00.000+0000,81.89,83.71,81.89,83.22,23904.0843
2025-03-31T16:00:00.000+0000,83.27,83.68,82.58,83.06,7989.0619
2025-03-31T18:00:00.000+0000,83.07,84.27,82.91,83.31,5443.1677
2025-03-31T20:00:00.000+0000,83.34,84.04,83.11,83.17,5385.2541
2025-03-31T22:00:00.000+0000,83.13,83.63,82.78,83.06,1825.0517
2025-04-01T00:00:00.000+0000,82.96,83.49,82.87,83.01,3570.7593
2025-04-01T02:00:00.000+0000,83.01,84.13,83.01,83.73,3027.742
2025-04-01T04:00:00.000+0000,83.77,84.68,83.61,84.13,3786.3905
2025-04-01T06:00:00.000+0000,84.15,84.83,83.96,84.25,5971.6639
2025-04-01T08:00:00.000+0000,84.21,85.78,84.21,85.14,11835.2894
2025-04-01T10:00:00.000+0000,85.17,85.18,83.96,84.13,6092.0463
2025-04-01T12:00:00.000+0000,84.13,84.99,84.09,84.78,4068.0675
