Datetime,Open,High,Low,Close,Volume
2025-07-26T08:00:00.000+0000,186.44,189.19,186.44,189.04,15530.644
2025-07-26T10:00:00.000+0000,189.0,189.75,187.32,187.7,18632.652
2025-07-26T12:00:00.000+0000,187.73,188.46,187.28,187.55,7191.668
2025-07-26T14:00:00.000+0000,187.59,187.9,186.05,187.49,9799.474
2025-07-26T16:00:00.000+0000,187.55,187.82,185.38,185.65,13396.899
2025-07-26T18:00:00.000+0000,185.63,186.64,185.09,186.43,4980.055
2025-07-26T20:00:00.000+0000,186.43,186.48,185.31,186.37,4367.107
2025-07-26T22:00:00.000+0000,186.36,186.75,184.3,184.86,7688.508
2025-07-27T00:00:00.000+0000,184.87,186.57,184.54,186.28,5857.384
2025-07-27T02:00:00.000+0000,186.32,187.6,185.84,187.16,12584.29
2025-07-27T04:00:00.000+0000,187.17,188.33,186.64,187.82,10438.6
2025-07-27T06:00:00.000+0000,187.85,188.03,186.63,187.25,5665.538
2025-07-27T08:00:00.000+0000,187.25,187.48,186.21,186.39,6217.047
2025-07-27T10:00:00.000+0000,186.37,188.56,186.33,187.04,13376.568
2025-07-27T12:00:00.000+0000,187.01,187.34,185.52,185.76,11643.281
2025-07-27T14:00:00.000+0000,185.75,186.52,184.82,186.48,10792.9578
2025-07-27T16:00:00.000+0000,186.48,189.76,185.96,188.09,22553.621
2025-07-27T18:00:00.000+0000,188.0,188.77,186.89,186.96,9212.558
2025-07-27T20:00:00.000+0000,186.94,188.23,186.44,187.96,5996.973
2025-07-27T22:00:00.000+0000,187.97,190.67,187.16,188.65,18860.063
2025-07-28T00:00:00.000+0000,188.66,191.15,187.66,188.24,16266.648
2025-07-28T02:00:00.000+0000,188.32,193.79,187.9,193.39,18873.61
2025-07-28T04:00:00.000+0000,193.33,195.24,192.51,194.38,16705.528
2025-07-28T06:00:00.000+0000,194.38,194.52,191.58,192.4,19653.382
2025-07-28T08:00:00.000+0000,192.34,193.32,191.28,193.14,8484.677
2025-07-28T10:00:00.000+0000,193.14,193.3,190.65,192.01,6148.435
2025-07-28T12:00:00.000+0000,192.01,193.5,189.29,190.19,17385.295
2025-07-28T14:00:00.000+0000,190.21,190.68,186.56,187.19,22298.428
2025-07-28T16:00:00.000+0000,187.19,188.0,185.35,185.89,15060.076
2025-07-28T18:00:00.000+0000,185.9,186.45,183.48,185.29,21662.401
2025-07-28T20:00:00.000+0000,185.28,185.54,182.65,184.27,12193.029
2025-07-28T22:00:00.000+0000,184.26,184.65,182.15,183.11,13221.225
2025-07-29T00:00:00.000+0000,183.12,184.71,180.99,181.77,15021.741
2025-07-29T02:00:00.000+0000,181.8,184.69,180.64,184.32,12734.853
2025-07-29T04:00:00.000+0000,184.34,184.86,183.24,184.86,6697.604
2025-07-29T06:00:00.000+0000,184.87,186.63,184.51,186.02,12073.285
2025-07-29T08:00:00.000+0000,186.04,186.46,184.24,184.61,10408.948
2025-07-29T10:00:00.000+0000,184.58,184.8,182.26,182.92,10836.76
2025-07-29T12:00:00.000+0000,182.93,184.96,182.17,182.66,12665.966
2025-07-29T14:00:00.000+0000,182.7,182.78,179.28,180.82,34633.166
2025-07-29T16:00:00.000+0000,180.8,181.69,178.29,181.5,14998.449
2025-07-29T18:00:00.000+0000,181.47,182.38,180.41,181.12,9986.754
2025-07-29T20:00:00.000+0000,181.12,181.89,179.3,181.23,9994.667
2025-07-29T22:00:00.000+0000,181.25,181.97,180.41,181.48,4371.028
2025-07-30T00:00:00.000+0000,181.48,181.89,178.84,181.43,11936.216
2025-07-30T02:00:00.000+0000,181.36,182.34,181.11,181.7,8675.049
2025-07-30T04:00:00.000+0000,181.7,182.1,179.35,181.02,6517.444
2025-07-30T06:00:00.000+0000,181.02,182.51,180.36,180.84,7571.859
2025-07-30T08:00:00.000+0000,180.81,181.48,178.62,179.14,11418.854
2025-07-30T10:00:00.000+0000,179.13,180.09,176.44,177.2,17600.38
2025-07-30T12:00:00.000+0000,177.3,178.25,176.67,178.03,17049.652
2025-07-30T14:00:00.000+0000,177.99,180.57,177.76,179.14,13440.711
2025-07-30T16:00:00.000+0000,179.2,180.0,178.26,179.32,8170.114
2025-07-30T18:00:00.000+0000,179.31,180.13,170.3,176.13,58301.453
2025-07-30T20:00:00.000+0000,176.1,177.46,174.72,175.89,10767.472
2025-07-30T22:00:00.000+0000,175.84,178.05,175.13,177.72,5351.34
2025-07-31T00:00:00.000+0000,177.77,180.07,177.62,179.48,9367.666
2025-07-31T02:00:00.000+0000,179.43,180.54,179.21,180.32,7567.04
2025-07-31T04:00:00.000+0000,180.33,181.25,179.83,180.8,14074.513
2025-07-31T06:00:00.000+0000,180.8,181.63,180.24,181.23,18109.499
2025-07-31T08:00:00.000+0000,181.24,182.72,181.06,182.49,10011.053
2025-07-31T10:00:00.000+0000,182.52,182.62,180.25,180.73,10903.311
2025-07-31T12:00:00.000+0000,180.75,180.88,176.72,177.68,13872.655
2025-07-31T14:00:00.000+0000,177.73,178.22,175.28,177.38,20919.975
